,precision,recall,f1-score,support
0,1.0,1.0,1.0,1213.0
1,1.0,1.0,1.0,412.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1625.0
weighted avg,1.0,1.0,1.0,1625.0
