,precision,recall,f1-score,support
0,1.0,0.9991755976916735,0.9995876288659793,1213.0
1,0.9975786924939467,1.0,0.9987878787878788,412.0
accuracy,0.9993846153846154,0.9993846153846154,0.9993846153846154,0.9993846153846154
macro avg,0.9987893462469734,0.9995877988458368,0.999187753826929,1625.0
weighted avg,0.9993861054200037,0.9993846153846154,0.9993848614615625,1625.0
