Model Name,Model Score,Model Features,Model Params,Training Times (sec)
Logistic Regression,0.4695,"('0', '1', '2', '3', '4', '5', '6', '7', '8')","{'C': 3, 'penalty': 'l1', 'solver': 'saga'}",1.49
Gaussian Naive Bayes,0.2995,"('citric acid', 'chlorides', 'density', 'sulphates')",{'var_smoothing': 0.001},0.41
K-Nearest Neighbors,0.8602,"('0', '1', '2', '3', '4', '5', '6', '7', '8')","{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",1.06
Linear Discriminant Analysis,0.4597,"('volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'type')","{'n_components': 1, 'shrinkage': 0.0, 'solver': 'lsqr', 'store_covariance': False}",0.45
Quadratic Discriminant Analysis,0.3368,"('volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'type')",{'reg_param': 0.4},0.5
Support Vector Classifier,0.7986,"('0', '1', '2', '3', '4', '5', '6', '7')","{'C': 1000.0, 'degree': 1, 'gamma': 'auto', 'kernel': 'rbf'}",121.37
Random Forest,0.8219,"('volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates')","{'criterion': 'entropy', 'max_depth': 11, 'max_features': 'sqrt', 'n_estimators': 300}",13.69
